seed,cond,method,ece,brier,nll
11,clean,uncalibrated,0.1841080787707831,0.26404474589652016,0.766221767253338
11,clean,static_temp,0.08814650115625025,0.24595964278065516,0.6849935903788491
11,clean,transcal,0.09246903428342577,0.24227039447935667,0.6771475502721647
11,clean,mora_global,0.07480683648567006,0.23969362153479215,0.6713233728003198
11,clean,mora_permod,0.07525943800136947,0.23963356885980552,0.6712485849925611
11,img_subset,uncalibrated,0.27037103196030665,0.32525782725664404,1.4915275174919576
11,img_subset,static_temp,0.09246299248407634,0.2500027704212219,0.6932654080991486
11,img_subset,transcal,0.1476245929134609,0.2558957749440917,0.7077681061438996
11,img_subset,mora_global,0.14809666095256777,0.2670591933582265,0.7448677272620347
11,img_subset,mora_permod,0.14686579669474584,0.26640643067370046,0.7423925192267546
11,clin_subset,uncalibrated,0.20729466588862747,0.2872208169601789,0.8355593294184154
11,clin_subset,static_temp,0.08877535986327595,0.24699832913256056,0.6870725276611099
11,clin_subset,transcal,0.08852653859546276,0.24486610570123188,0.682365690437644
11,clin_subset,mora_global,0.07561855274205241,0.24479946286812812,0.6817257003330842
11,clin_subset,mora_permod,0.08249757630619557,0.24510380186249053,0.682453466393339
12,clean,uncalibrated,0.1794914822819215,0.28242794855875863,0.7791240879531623
12,clean,static_temp,0.08013636651645949,0.24906024364999077,0.691235758852641
12,clean,transcal,0.09406213847186236,0.24936298710971716,0.6918707673643173
12,clean,mora_global,0.061083625075306174,0.2511056266314183,0.6952848382047017
12,clean,mora_permod,0.06114989704764153,0.2509758487600438,0.6950071378492503
12,img_subset,uncalibrated,0.3109706327994274,0.34770691316778307,1.213495771663849
12,img_subset,static_temp,0.11749034122814142,0.25585295190482427,0.7055976184762359
12,img_subset,transcal,0.08711513537162077,0.2504430909881807,0.6940418486489339
12,img_subset,mora_global,0.14922018381080196,0.2701707383809621,0.7415583621367284
12,img_subset,mora_permod,0.14427421281762637,0.2700879494886124,0.7408945111867806
12,clin_subset,uncalibrated,0.25234291540072096,0.2950695853596998,0.8426670937440848
12,clin_subset,static_temp,0.12016514232930113,0.2500674189459338,0.6933356914095112
12,clin_subset,transcal,0.11063367193158972,0.24960265504263018,0.6923539179041908
12,clin_subset,mora_global,0.10912528780422451,0.2535942477267747,0.7009714607162729
12,clin_subset,mora_permod,0.09049728123334155,0.2536207296565373,0.7010507276646587
13,clean,uncalibrated,0.1740542592096996,0.26465829196068863,0.7545784185264562
13,clean,static_temp,0.08901219766008252,0.24287780440836038,0.6794700991127272
13,clean,transcal,0.0921198094862978,0.24748157970965265,0.6881068879759137
13,clean,mora_global,0.08068871254058008,0.2426023531864995,0.6782999125349283
13,clean,mora_permod,0.08293363402526183,0.24268593966366064,0.6784372522257808
13,img_subset,uncalibrated,0.3058815784153621,0.3389997324319144,1.345582453766716
13,img_subset,static_temp,0.20289284454175396,0.28988896550410964,0.8368411706544441
13,img_subset,transcal,0.09064715720814256,0.2510087665154176,0.6952510522745726
13,img_subset,mora_global,0.1232124159519766,0.2675415151062713,0.7397414023341489
13,img_subset,mora_permod,0.12830191674582286,0.2673093179211571,0.7389319493984197
13,clin_subset,uncalibrated,0.24876437180389419,0.3011435701751253,0.865622642052623
13,clin_subset,static_temp,0.15093405022796752,0.2587450108509214,0.7139913552434092
13,clin_subset,transcal,0.1116358963839736,0.2492931774555981,0.6917340400945888
13,clin_subset,mora_global,0.10371489623523623,0.25270185238780396,0.6990625879701471
13,clin_subset,mora_permod,0.10220893973958213,0.2530901673228338,0.6997958517034145
14,clean,uncalibrated,0.1558120357944251,0.27682784048206227,0.7843966006502373
14,clean,static_temp,0.09702735358823403,0.25296014292504715,0.7010439794904352
14,clean,transcal,0.10574771219807894,0.2506337599540105,0.6947825943379354
14,clean,mora_global,0.09185815153496879,0.24885998436443116,0.690303927016024
14,clean,mora_permod,0.0884122961539403,0.2485013857897315,0.6895512406239593
