seed,cond,auroc,err_rate,aurc_conf,aurc_permod,aurc_global,aurc_random,sr_conf@0.6,sr_permod@0.6,sr_global@0.6,sr_conf@0.7,sr_permod@0.7,sr_global@0.7,sr_conf@0.8,sr_permod@0.8,sr_global@0.8,sr_conf@0.9,sr_permod@0.9,sr_global@0.9,deferred_shift_recall,attribution_acc
11,clin_subset,0.5694117647058824,0.43452380952380953,0.3736723291772477,0.4086901561334121,0.4092385059690395,0.47612786873428636,0.37623762376237624,0.4158415841584158,0.40594059405940597,0.3983050847457627,0.3898305084745763,0.3728813559322034,0.40298507462686567,0.39552238805970147,0.3880597014925373,0.423841059602649,0.4304635761589404,0.423841059602649,0.98,1.0
12,clean,0.5404411764705882,0.49404761904761907,0.3681675233443367,0.3936972830115668,0.37320952314889794,0.5491462779722708,0.43564356435643564,0.44554455445544555,0.42574257425742573,0.4661016949152542,0.4576271186440678,0.4491525423728814,0.4626865671641791,0.4626865671641791,0.47761194029850745,0.48344370860927155,0.4768211920529801,0.4768211920529801,,
12,img_subset,0.5160294117647058,0.49404761904761907,0.4709435518907084,0.41704756282537614,0.41426442581898765,0.5016597846066566,0.4158415841584158,0.5247524752475248,0.5247524752475248,0.4152542372881356,0.5169491525423728,0.5169491525423728,0.44776119402985076,0.5149253731343284,0.5149253731343284,0.45695364238410596,0.5099337748344371,0.5099337748344371,1.0,1.0
12,clin_subset,0.5397058823529411,0.47619047619047616,0.3860941801399278,0.39530379150923106,0.38615071974884313,0.47853722567394386,0.40594059405940597,0.45544554455445546,0.45544554455445546,0.4491525423728814,0.4576271186440678,0.4661016949152542,0.44029850746268656,0.4626865671641791,0.4626865671641791,0.45695364238410596,0.4768211920529801,0.4503311258278146,1.0,1.0
13,clean,0.556764705882353,0.4642857142857143,0.35914857940882444,0.42511292317490146,0.4255887357732754,0.42654778576008684,0.40594059405940597,0.42574257425742573,0.42574257425742573,0.4322033898305085,0.4322033898305085,0.423728813559322,0.4253731343283582,0.44776119402985076,0.4253731343283582,0.44370860927152317,0.45695364238410596,0.45695364238410596,,
13,img_subset,0.48544117647058826,0.48214285714285715,0.5509789492422245,0.37249073007665384,0.368613696178731,0.4835323717535844,0.46534653465346537,0.43564356435643564,0.43564356435643564,0.4491525423728814,0.4406779661016949,0.4491525423728814,0.44776119402985076,0.44029850746268656,0.44029850746268656,0.4503311258278146,0.44370860927152317,0.4503311258278146,1.0,1.0
13,clin_subset,0.5433823529411764,0.47619047619047616,0.38942759773944197,0.47975721381533987,0.47225480134012027,0.4482029504793121,0.40594059405940597,0.5148514851485149,0.45544554455445546,0.423728813559322,0.4915254237288136,0.4661016949152542,0.4253731343283582,0.48507462686567165,0.48507462686567165,0.46357615894039733,0.48344370860927155,0.4966887417218543,1.0,0.98
14,clean,0.5329411764705883,0.5178571428571429,0.4399264241120489,0.49148287901734766,0.47022002703462834,0.5146523794505702,0.44554455445544555,0.49504950495049505,0.4752475247524752,0.4406779661016949,0.5169491525423728,0.4915254237288136,0.4701492537313433,0.5373134328358209,0.5149253731343284,0.5033112582781457,0.543046357615894,0.5298013245033113,,
14,img_subset,0.42117647058823526,0.5773809523809523,0.5286415836124012,0.5805021894043649,0.566328272750208,0.5486081770492723,0.5544554455445545,0.6237623762376238,0.6138613861386139,0.5508474576271186,0.6271186440677966,0.6271186440677966,0.5522388059701493,0.6343283582089553,0.6343283582089553,0.5695364238410596,0.5827814569536424,0.5827814569536424,1.0,1.0
14,clin_subset,0.5198529411764706,0.5297619047619048,0.4578993228444938,0.5192006410942912,0.5073876429310538,0.5200651463532231,0.46534653465346537,0.5247524752475248,0.5445544554455446,0.4576271186440678,0.559322033898305,0.5508474576271186,0.48507462686567165,0.5447761194029851,0.5522388059701493,0.5099337748344371,0.543046357615894,0.5496688741721855,0.98,1.0
15,clean,0.6069117647058824,0.4583333333333333,0.3367246936834968,0.39307652236981305,0.38599716724751026,0.42478766765504805,0.36633663366336633,0.38613861386138615,0.39603960396039606,0.3728813559322034,0.4067796610169492,0.4067796610169492,0.41044776119402987,0.4253731343283582,0.41044776119402987,0.4370860927152318,0.4503311258278146,0.4503311258278146,,
15,img_subset,0.6010294117647059,0.44047619047619047,0.4019800356526374,0.39659771900355617,0.39697644463750525,0.47962815362032446,0.38613861386138615,0.43564356435643564,0.43564356435643564,0.3898305084745763,0.4491525423728814,0.4491525423728814,0.3880597014925373,0.43283582089552236,0.43283582089552236,0.41721854304635764,0.423841059602649,0.423841059602649,1.0,1.0
