seed,cond,method,auroc,brier,n_eval
18,clean,static,0.5851470588235295,0.23523569780142198,168
18,clean,global,0.5810294117647059,0.2372910116679421,168
18,clean,permod,0.5595588235294118,0.23928513259320766,168
18,img_subset,static,0.4453333333333333,0.30886132913815445,80
18,img_subset,global,0.5,0.23512523610736338,80
18,img_subset,permod,0.4733333333333333,0.24274542839668412,80
18,clin_subset,static,0.538594470046083,0.24096129976942549,87
18,clin_subset,global,0.5276497695852534,0.23140625534846984,87
18,clin_subset,permod,0.5898617511520738,0.242951646026837,87
19,clean,static,0.5376470588235294,0.2438912302361518,168
19,clean,global,0.5357352941176471,0.23954618555657128,168
19,clean,permod,0.5360294117647059,0.24143461891858284,168
19,img_subset,static,0.5327442827442828,0.27205756841736023,89
19,img_subset,global,0.5,0.24307657681196074,89
19,img_subset,permod,0.5545738045738046,0.24115982086024526,89
19,clin_subset,static,0.5479539641943735,0.2445324968627558,80
19,clin_subset,global,0.5223785166240409,0.24401312275113515,80
19,clin_subset,permod,0.6285166240409207,0.24374604627580573,80
